groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules,unicastTraffic,multicastTraffic,baseeratTraffic,overlayTraffic
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,3505662048,642041549,646667704,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,3505662048,642041549,984348432,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000,3505662048,642041549,668830822,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,3505662048,642041549,908210532,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,3505662048,642041549,704113063,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000,3505662048,642041549,867909891,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000,3505662048,642041549,786116547,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000,3505662048,642041549,888446344,1382264456
uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000,3505662048,642041549,873820480,1382264456
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000,281307492,62118040,80595895,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000,281307492,62118040,62118433,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000,281307492,62118040,62378653,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000,281307492,62118040,62118433,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000,281307492,62118040,62118433,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000,281307492,62118040,62118433,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,281307492,62118040,85640983,138594176
wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,281307492,62118040,62118433,138594176
