groupsCovered,groupsCoveredWithoutDefaultBitmap,groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules
671147,649207,uniform,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
649207,649207,uniform,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
759260,754802,uniform,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
754802,754802,uniform,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
857320,857320,uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
773272,772835,uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000
986015,986015,uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000
844436,844427,uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000
836626,50932,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
129069,50932,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
812625,146800,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
761918,204896,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000
221065,221058,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000
771656,686383,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000
331427,331427,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000
823749,49727,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
121704,49727,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
785736,142332,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
144886,142332,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
745164,249704,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
249704,249704,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000
711114,703389,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
