groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules,unicastTraffic,multicastTraffic,baseeratTraffic,overlayTrafficCorrected,unicastTraffic64B,multicastTraffic64B,baseeratTraffic64B,overlayTrafficCorrected64B,unicastTraffic512B,multicastTraffic512B,baseeratTraffic512B,overlayTrafficCorrected512B,unicastTraffic1500B,multicastTraffic1500B,baseeratTraffic1500B,overlayTrafficCorrected1500B
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,2366648910,412834136,447962466,819677476,269797975740,47063091504,52349368571.125,93443232264,1330056687420,232012784432,253036553339.125,460658741512,3668305810500,639892910800,695623469747.125,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,2366648910,412834136,412834136,819677476,269797975740,47063091504,48301315373.125,93443232264,1330056687420,232012784432,233251008301.125,460658741512,3668305810500,639892910800,641131134669.125,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,2366648910,412834136,440930286,819677476,269797975740,47063091504,51582392529.0,93443232264,1330056687420,232012784432,249119160657.0,460658741512,3668305810500,639892910800,684758283225.0,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,2366648910,412834136,415010216,819677476,269797975740,47063091504,48587832411.0,93443232264,1330056687420,232012784432,234512409179.0,460658741512,3668305810500,639892910800,644542502587.0,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,2366648910,412834136,438566073,819677476,269797975740,47063091504,51352982388.375,93443232264,1330056687420,232012784432,247830583092.375,460658741512,3668305810500,639892910800,681133863216.375,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,2366648910,412834136,421288200,819677476,269797975740,47063091504,49347035640.375,93443232264,1330056687420,232012784432,238084149240.375,460658741512,3668305810500,639892910800,654316890840.375,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,2366648910,412834136,418898101,819677476,269797975740,47063091504,49934203347.625,93443232264,1330056687420,232012784432,237600552595.625,460658741512,3668305810500,639892910800,651471876383.625,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,2366648910,412834136,412834136,819677476,269797975740,47063091504,49212169887.625,93443232264,1330056687420,232012784432,234161862815.625,460658741512,3668305810500,639892910800,642041989183.625,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,2366648910,412834136,417629914,819677476,269797975740,47063091504,49835748593.625,93443232264,1330056687420,232012784432,236933950065.625,460658741512,3668305810500,639892910800,649552305097.625,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,2366648910,412834136,415863260,819677476,269797975740,47063091504,49617773345.625,93443232264,1330056687420,232012784432,235924513825.625,460658741512,3668305810500,639892910800,646797414705.625,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,2366648910,412834136,424021091,819677476,269797975740,47063091504,50607800088.0,93443232264,1330056687420,232012784432,240569248856.0,460658741512,3668305810500,639892910800,659502086764.0,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,2366648910,412834136,423854052,819677476,269797975740,47063091504,50582756658.0,93443232264,1330056687420,232012784432,240469371954.0,460658741512,3668305810500,639892910800,659237175330.0,1270500087800
uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,2366648910,412834136,412975390,819677476,269797975740,47063091504,50061830834.75,93443232264,1330056687420,232012784432,235074805554.75,460658741512,3668305810500,639892910800,643094490874.75,1270500087800
