groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules,unicastTraffic,multicastTraffic,baseeratTraffic,overlayTrafficCorrected,unicastTraffic64B,multicastTraffic64B,baseeratTraffic64B,overlayTrafficCorrected64B,unicastTraffic512B,multicastTraffic512B,baseeratTraffic512B,overlayTrafficCorrected512B,unicastTraffic1500B,multicastTraffic1500B,baseeratTraffic1500B,overlayTrafficCorrected1500B
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,1988445564,347798013,370880461,689604726,226682794296,39648973482,43380949160.75,78614938764,1117506406968,195462483306,209535395688.75,387557856012,3082090624200,539086920150,575965291156.75,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,1988445564,347798013,347798013,689604726,226682794296,39648973482,40718206586.75,78614938764,1117506406968,195462483306,196531716410.75,387557856012,3082090624200,539086920150,540156153254.75,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,1988445564,347798013,366493103,689604726,226682794296,39648973482,42905467054.375,78614938764,1117506406968,195462483306,207094377198.375,387557856012,3082090624200,539086920150,569189562962.375,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,1988445564,347798013,349568895,689604726,226682794296,39648973482,40947900292.375,78614938764,1117506406968,195462483306,197554765252.375,387557856012,3082090624200,539086920150,542928833512.375,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,1988445564,347798013,365978091,689604726,226682794296,39648973482,42877156597.5,78614938764,1117506406968,195462483306,206835341365.5,387557856012,3082090624200,539086920150,568421695273.5,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,1988445564,347798013,354986490,689604726,226682794296,39648973482,41599738357.5,78614938764,1117506406968,195462483306,200633685877.5,387557856012,3082090624200,539086920150,551360337997.5,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,1988445564,347798013,351685375,689604726,226682794296,39648973482,41919521555.875,78614938764,1117506406968,195462483306,199474569555.875,387557856012,3082090624200,539086920150,546939720055.875,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,1988445564,347798013,347798013,689604726,226682794296,39648973482,41456246297.875,78614938764,1117506406968,195462483306,197269756121.875,387557856012,3082090624200,539086920150,540894192965.875,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,1988445564,347798013,351512749,689604726,226682794296,39648973482,41933335141.625,78614938764,1117506406968,195462483306,199411046693.625,387557856012,3082090624200,539086920150,546705642705.625,1068887325300
uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,1988445564,347798013,350167875,689604726,226682794296,39648973482,41770000873.625,78614938764,1117506406968,195462483306,198645208873.625,387557856012,3082090624200,539086920150,544611069373.625,1068887325300
